DATE,TITLE,ARTIST,WKS,YEAR
03/01/2015,UPTOWN FUNK,MARK RONSON FT. BRUNO MARS,6,2015
14/02/2015,LOVE ME LIKE YOU DO,ELLIE GOULDING,4,2015
14/03/2015,KING,YEARS & YEARS,1,2015
21/03/2015,LAY ME DOWN,SAM SMITH FT. JOHN LEGEND,2,2015
04/04/2015,HOLD MY HAND,JESS GLYNNE,3,2015
25/04/2015,SEE YOU AGAIN,WIZ KHALIFA FT. CHARLIE PUTH,2,2015
09/05/2015,CHEERLEADER (FELIX JAEHN REMIX),OMI,4,2015
06/06/2015,WANT TO WANT ME,JASON DERULO,4,2015
04/07/2015,NOT LETTING GO,TINIE TEMPAH FT. JESS GLYNNE,1,2015
09/07/2015,ARE YOU WITH ME,LOST FREQUENCIES,1,2015
16/07/2015,HOUSE EVERY WEEKEND,DAVID ZOWIE,1,2015
23/07/2015,BLACK MAGIC,LITTLE MIX,3,2015
13/08/2015,DRAG ME DOWN,ONE DIRECTION,1,2015
20/08/2015,MARVIN GAYE,CHARLIE PUTH FT. MEGHAN TRAINOR,1,2015
27/08/2015,DON'T BE SO HARD ON YOURSELF,JESS GLYNNE,1,2015
03/09/2015,FIGHT SONG,RACHEL PLATTEN,1,2015
10/09/2015,WHAT DO YOU MEAN?,JUSTIN BIEBER,1,2015
17/09/2015,EASY LOVE,SIGALA,1,2015
24/09/2015,WHAT DO YOU MEAN?,JUSTIN BIEBER,2,2015
08/10/2015,WRITING'S ON THE WALL,SAM SMITH,1,2015
15/10/2015,WHAT DO YOU MEAN,JUSTIN BIEBER,2,2015
29/10/2015,TURN THE MUSIC LOUDER (RUMBLE),KDA FT. TINIE TEMPAH & KATY B,1,2015
19/11/2015,HELLO,ADELE,3,2015
26/11/2015,SORRY,JUSTIN BIEBER,2,2015
10/12/2015,LOVE YOURSELF,JUSTIN BIEBER,3,2015
31/12/2015,A BRIDGE OVER YOU,THE LEWISHAM & GREENWICH NHS CHOIR,1,2015
07/01/2016,LOVE YOURSELF,JUSTIN BIEBER,3,2016
21/01/2016,STITCHES,SHAWN MENDES,2,2016
11/02/2016,PILLOWTALK,ZAYN,1,2016
18/02/2016,7 YEARS,LUKAS GRAHAM,5,2016
17/03/2016,I TOOK A PILL IN IBIZA,MIKE POSNER,4,2016
21/04/2016,ONE DANCE,DRAKE FT. WIZKID & KYLA,15,2016
04/08/2016,COLD WATER,MAJOR LAZER FT. JUSTIN BIEBER & MØ,5,2016
08/09/2016,CLOSER,THE CHAINSMOKERS FT. HALSEY,4,2016
06/10/2016,SAY YOU WON'T LET GO,JAMES ARTHUR,3,2016
27/10/2016,SHOUT OUT TO MY EX,LITTLE MIX,3,2016
17/11/2016,ROCKABYE,CLEAN BANDIT ,9,2016
19/01/2017,SHAPE OF YOU,ED SHEERAN,13,2017
20/04/2017,SIGN OF THE TIMES,HARRY STYLES,1,2017
27/04/2017,SHAPE OF YOU,ED SHEERAN,1,2017
04/05/2017,SYMPHONY,CLEAN BANDIT FT. ZARA LARSSON,1,2017
11/05/2017,I'M THE ONE,"DJ KHALED FT. JUSTIN BIEBER, QUAVO, CHANCE THE RAPPER & LIL WAYNE",1,2017
18/05/2017,DESPACITO,LUIS FONSI & DADDY YANKEE FT. JUSTIN BIEBER,6,2017
29/06/2017,BRIDGE OVER TROUBLED WATER,ARTISTS FOR GRENFELL,1,2017
06/07/2017,DESPACITO,LUIS FONSI & DADDY YANKEE FT. JUSTIN BIEBER,3,2017
27/07/2017,WILD THOUGHTS,DJ KHALED FT. RIHANNA & BRYSON TILLER,1,2017
03/08/2017,DESPACITO,LUIS FONSI & DADDY YANKEE FT. JUSTIN BIEBER,2,2017
17/08/2017,FEELS,"CALVIN HARRIS FT. PHARRELL, KATY PERRY & BIG SEAN",1,2017
24/08/2017,NEW RULES,DUA LIPA,2,2017
07/09/2017,LOOK WHAT YOU MADE ME DO,TAYLOR SWIFT,2,2017
21/09/2017,TOO GOOD AT GOODBYES,SAM SMITH,3,2017
12/10/2017,ROCKSTAR,POST MALONE FT. 21 SAVAGE,4,2017
09/11/2017,HAVANA,CAMILA CABELLO FT. YOUNG THUG,5,2017
14/12/2017,PERFECT,ED SHEERAN,6,2017
25/01/2018,RIVER,EMINEM FT. ED SHEERAN,1,2018
01/02/2018,GOD'S PLAN,DRAKE,9,2018
05/04/2018,THESE DAYS,"RUDIMENTAL FT. JESS GLYNNE, MACKLEMORE & DAN CAPLEN",1,2018
12/04/2018,FREAKY FRIDAY,LIL DICKY FT. CHRIS BROWN,1,2018
19/04/2018,NICE FOR WHAT,DRAKE,1,2018
26/04/2018,ONE KISS,CALVIN HARRIS & DUA LIPA,8,2018
21/06/2018,I'LL BE THERE,JESS GLYNNE,1,2018
28/06/2018,SOLO,CLEAN BANDIT FT. DEMI LOVATO,1,2018
05/07/2018,SHOTGUN,GEORGE EZRA,2,2018
19/07/2018,3 LIONS,BADDIEL/SKINNER/LIGHTNING SEEDS,1,2018
26/07/2018,IN MY FEELINGS,DRAKE,4,2018
23/08/2018,SHOTGUN,GEORGE EZRA,2,2018
06/09/2018,EASTSIDE,BENNY BLANCO/HALSEY/KHALID,1,2018
13/09/2018,PROMISES,CALVIN HARRIS & SAM SMITH,5,2018
18/10/2018,FUNKY FRIDAY,DAVE FT. FREDO,1,2018
25/10/2018,PROMISES,CALVIN HARRIS & SAM SMITH,1,2018
01/11/2018,SHALLOW,LADY GAGA & BRADLEY COOPER,2,2018
15/11/2018,"THANK U, NEXT",ARIANA GRANDE,6,2018
27/12/2018,WE BUILT THIS CITY,LADBABY,1,2018
03/01/2019,SWEET BUT PSYCHO,AVA MAX,4,2019
31/01/2019,7 RINGS,ARIANA GRANDE,3,2019
21/02/2019,"BREAK UP WITH YOUR GIRLFRIEND, I'M BORED",ARIANA GRANDE,1,2019
28/02/2019,7 RINGS,ARIANA GRANDE,1,2019
07/03/2019,SOMEONE YOU LOVED,LEWIS CAPALDI,7,2019
25/04/2019,OLD TOWN ROAD,LIL NAS X,2,2019
09/05/2019,VOSSI BOP,STORMZY,2,2019
23/05/2019,I DON'T CARE,ED SHEERAN & JUSTIN BIEBER,8,2019
18/07/2019,SENORITA,SHAWN MENDES & CAMILA CABELLO,1,2019
25/07/2019,BEAUTIFUL PEOPLE,ED SHEERAN FT. KHALID,1,2019
01/08/2019,SENORITA,SHAWN MENDES & CAMILA CABELLO,5,2019
05/09/2019,TAKE ME BACK TO LONDON,ED SHEERAN FT. STORMZY,5,2019
10/10/2019,DANCE MONKEY,TONES AND I,11,2019
26/12/2019,I LOVE SAUSAGE ROLLS,LADBABY,1,2019
02/01/2020,RIVER,ELLIE GOULDING,1,2020
09/01/2020,OWN IT,"STORMZY, ED SHEERAN & BURNA BOY",3,2020
30/01/2020,GODZILLA,EMINEM FT. JUICE WRLD,1,2020
06/02/2020,BEFORE YOU GO,LEWIS CAPALDI,1,2020
13/02/2020,BLINDING LIGHTS,THE WEEKND,2,2020
27/02/2020,NO TIME TO DIE,BILLIE EILISH,1,2020
05/02/2020,BLINDING LIGHTS,THE WEEKND,3,2020
26/03/2020,ROSES,SAINT JHN,2,2020
09/04/2020,BLINDING LIGHTS,THE WEEKND,3,2020
30/04/2020,YOU'LL NEVER WALK ALONE,MICHAEL BALL & CAPTAIN TOM MOORE,1,2020
07/05/2020,TIMES LIKE THESE,BBC RADIO 1'S LIVE LOUNGE ALLSTARS,1,2020
14/05/2020,TOOSIE SLIDE,DRAKE,1,2020
21/05/2020,ROCKSTAR,DABABY FT. RODDY RICCH,2,2020
04/06/2020,RAIN ON ME,LADY GAGA & ARIANA GRANDE,1,2020
11/06/2020,ROCKSTAR,DABABY FT. RODDY RICCH,4,2020
09/07/2020,SAVAGE LOVE (LAXED - SIREN BEAT),JAWSH 685 & JASON DERULO,3,2020
30/07/2020,HEAD & HEART,JOEL CORRY FT. MNEK,6,2020
10/09/2020,WAP,CARDI B FT. MEGAN THEE STALLION,3,2020
01/10/2020,MOOD,24KGOLDN FT. IANN DIOR,4,2020
29/10/2020,LEMONADE,"INTERNET MONEY FT. DON TOLIVER, GUNNA, NAV",1,2020
05/11/2020,POSITIONS,ARIANA GRANDE,6,2020
17/12/2020,ALL I WANT FOR CHRISTMAS IS YOU,MARIAH CAREY,2,2020
31/12/2020,DON'T STOP ME EATIN',LADBABY,1,2020
07/01/2021,LAST CHRISTMAS,WHAM!,1,2021
14/01/2021,SWEET MELODY,LITTLE MIX,1,2021
21/01/2021,DRIVERS LICENSE,OLIVIA RODRIGO,9,2021
25/03/2021,WELLERMAN,NATHAN EVANS/220 KID/BILLEN TED,2,2021
08/04/2021,MONTERO (CALL ME BY YOUR NAME),LIL NAS X,5,2021
13/05/2021,BODY,TION WAYNE & RUSS MILLIONS,3,2021
03/06/2021,GOOD 4 U,OLIVIA RODRIGO,5,2021
08/07/2021,BAD HABITS,ED SHEERAN,11,2021
23/09/2021,SHIVERS,ED SHEERAN,4,2021
21/10/2021,COLD HEART (PNAU REMIX),ELTON JOHN & DUA LIPA,1,2021
28/10/2021,EASY ON ME,ADELE,7,2021
16/12/2021,MERRY CHRISTMAS,ED SHEERAN & ELTON JOHN,2,2021
30/12/2021,SAUSAGE ROLLS FOR EVERYONE,LADBABY FT. ED SHEERAN & ELTON JOHN,1,2021
06/01/2022,MERRY CHRISTMAS,ED SHEERAN & ELTON JOHN,1,2022
13/01/2022,EASY ON ME,ADELE,1,2022
20/01/2022,ABCDEFU,GAYLE,1,2022
27/01/2022,WE DON'T TALK ABOUT BRUNO,GAITAN/CASTILLO/ADASSA/FELIZ,7,2022
17/03/2022,STARLIGHT,DAVE,4,2022
14/04/2022,AS IT WAS,HARRY STYLES,10,2022
23/06/2022,RUNNING UP THAT HILL,KATE BUSH,3,2022
14/07/2022,AFRAID TO FEEL,LF SYSTEM,8,2022
08/09/2022,B.O.T.A. (BADDEST OF THEM ALL),ELIZA ROSE/INTERPLANETARY,2,2022
22/09/2022,FORGET ME,LEWIS CAPALDI,1,2022
29/09/2022,I'M GOOD (BLUE),DAVID GUETTA FT. BEBE REXHA,1,2022
06/10/2022,UNHOLY,SAM SMITH & KIM PETRAS,4,2022
03/11/2022,ANTI-HERO,TAYLOR SWIFT,6,2022
15/12/2022,ALL I WANT FOR CHRISTMAS IS YOU,MARIAH CAREY,1,2022
22/12/2022,LAST CHRISTMAS,WHAM!,1,2022
29/12/2022,FOOD AID,LADBABY,1,2022
05/01/2023,LAST CHRISTMAS,WHAM!,1,2023
12/01/2023,ESCAPISM,RAYE FT. 070 SHAKE,1,2023
19/01/2023,POINTLESS,LEWIS CAPALDI,1,2023
26/01/2023,FLOWERS,MILEY CYRUS,10,2023
06/04/2023,EYES CLOSED,ED SHEERAN,1,2023
13/04/2023,MIRACLE,CALVIN HARRIS & ELLIE GOULDING,2,2023
27/04/2023,WISH YOU THE BEST,LEWIS CAPALDI,1,2023
04/05/2023,MIRACLE,CALVIN HARRIS & ELLIE GOULDING,6,2023
22/06/2023,SPRINTER,DAVE & CENTRAL CEE,10,2023
24/08/2023,WHAT WAS I MADE FOR,BILLIE EILISH,1,2023
31/08/2023,DANCE THE NIGHT,DUA LIPA,1,2023
07/09/2023,VAMPIRE,OLIVIA RODRIGO,1,2023
14/09/2023,PAINT THE TOWN RED,DOJA CAT,5,2023
19/10/2023,STRANGERS,KENYA GRACE,3,2023
09/11/2023,IS IT OVER NOW? (TAYLOR'S VERSION),TAYLOR SWIFT,1,2023
16/11/2023,NOW AND THEN,THE BEATLES,1,2023
23/11/2023,LOVIN ON ME,JACK HARLOW,3,2023
14/12/2023,LAST CHRISTMAS,WHAM!,4,2023
